,total,scale,shape,r2,AIC
Weibull,6150,2.9,2.4,0.92,208.74
Gamma,6385,0.7,3.8,0.89,214.1
Rayleigh,6531,2.9,2,0.91,209.29
Weibull,9381,2.7,1.8,0.93,217.77
Gamma,9405,1,2.6,0.92,220.76
Rayleigh,8995,2.7,2,0.92,217.06
Weibull,6325,3,2,0.99,169.51
Gamma,6354,0.8,3.4,0.98,181.69
Rayleigh,6381,3,2,0.99,168.31
Weibull,696,3.3,3.6,0.95,141.44
Gamma,723,0.3,9.8,0.98,129.75
Rayleigh,875,3.7,2,0.78,160.23
Weibull,873,3,4.5,0.97,146.48
Gamma,838,0.1,20,0.95,152.28
Rayleigh,1121,3.2,2,0.73,175.09
Weibull,1406,2.9,3.2,0.94,165.8
Gamma,1556,0.5,5.3,0.9,171.75
Rayleigh,1686,3.1,2,0.85,174.73
Weibull,1783,10.4,9.6,0.94,239.34
Gamma,1698,0.1,86,0.92,245.05
Rayleigh,2605,10.7,2,0.3,284.84
Weibull,949,7.3,7.7,0.98,133.19
Gamma,1422,3.8,2.5,0.24,185.69
Rayleigh,1657,8,2,0.27,182.75
Weibull,1727,10.8,9.5,0.97,218.18
Gamma,1698,0.1,78.9,0.99,193.57
Rayleigh,2340,12.3,2,0.25,285
