"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","cache","text","token","l","field","doc","query","token","task","suffix","r","line","index","file","stop","skip","x","query","query","pattern","lock","payload","jj","buffer","field","b","merge","queue","term","query"
"2","instantiated","sb","tokenizer","cur","store","field","weight","analyzer","data","ct","c","cursor","segment","directory","bit","scorer","word","span","field","string","zz","length","query","offset","reader","twos","segment","doc","field","builder"
"3","document","prefix","input","kind","fields","per","boost","tokens","license","rv","s","v","directory","ioexception","u","doc","add","spans","val","hyphenation","link","utf","token","size","doc","fours","writer","score","reader","date"
"4","shingle","string","stream","jj","vector","state","terms","stream","run","error","step","lab","writer","name","set","pointer","words","upper","search","n","u","bytes","ntk","term","sort","ones","commit","top","positions","parser"
"5","setting","append","gram","state","stream","writer","search","next","benchmark","remove","false","limit","corrupt","files","bits","scorers","map","lower","source","word","factory","tvf","term","position","fields","u","info","hits","vector","org"
"6","current","fragment","upto","pos","value","thread","filter","reusable","stats","retval","b","r","file","read","words","match","len","include","queries","p","path","vint","parse","length","ioexception","c","segments","time","index","element"
"7","filter","frag","next","nadd","name","postings","searcher","analysis","perf","r","delete","u","doc","input","filter","level","size","queries","doc","key","read","write","la","type","index","x","infos","hit","terms","body"
"8","information","num","filter","states","binary","fields","similarity","null","tasks","vowel","v","false","store","dir","letter","current","sorted","clauses","quality","stok","commit","read","consume","start","sub","block","policy","max","info","maker"
"9","column","length","analysis","x","offset","hash","doc","filter","apache","true","ends","slice","infos","pp","word","next","num","near","lucene","len","b","last","q","end","selector","pop","doc","date","freq","exception"
"10","key","score","reusable","jjmatched","stored","terms","expl","lucene","params","dictionary","ch","call","norm","output","output","prox","iter","payload","reader","hyphen","error","tvd","exception","current","docs","min","size","docs","readers","lucene"
"11","matrix","format","reader","check","data","consumer","set","apache","software","string","stemmer","var","exception","stream","stopwords","sub","synonyms","slop","org","length","obtain","offset","field","text","comparator","distance","max","resolution","norms","doc"
"12","size","round","size","jjnew","document","num","explanation","max","system","token","cursor","del","info","write","analyzer","nr","println","zone","src","tree","ioexception","result","clauses","link","fi","tot","flush","format","position","document"
"13","row","fragments","standard","jjstate","indexed","free","score","text","under","message","snowball","b","reader","close","wlen","size","iterator","range","score","exception","directory","stop","fuzzy","set","cache","f","merges","min","docs","apache"
"14","settings","highlight","start","move","index","id","model","weighted","report","expected","limit","mark","segments","null","open","first","j","clause","apache","k","code","tvx","gen","buf","document","v","docs","freq","document","file"
"15","map","res","c","cnt","omit","documents","field","reader","org","append","k","bra","font","data","id","sum","memory","buffer","values","system","state","td","image","shingle","string","tf","deletes","collector","offsets","factory"
"16","documents","name","min","stream","compressed","upto","norm","color","lucene","subword","y","ket","dir","open","reader","last","index","boost","javadoc","s","current","e","clause","buffers","starts","n","num","priority","name","xmlparser"
"17","associated","substring","acronym","starts","read","info","result","field","name","sequences","hop","backward","format","exists","pos","levels","hash","list","function","c","packed","t","parser","increment","type","eights","delete","n","ioexception","analyzer"
"18","number","number","offset","lex","fieldable","count","code","ioexception","stat","length","true","grouping","open","generation","index","heap","string","sub","cache","chars","instance","freq","queries","output","score","csa","thread","search","license","filter"
"19","factory","buffer","max","nfa","tokenized","pool","table","org","println","longest","stem","g","count","gen","e","score","length","weighted","value","character","release","charset","operator","array","values","num","count","j","mapper","config"
"20","permutation","param","stemmer","active","analyzed","block","reader","input","distributed","ch","bra","golab","extension","index","td","target","entry","collator","parser","res","deletion","s","date","input","n","math","files","total","close","e"
